"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance"
"236703_at",-1.145059027761,0.0284793809557857,-11.0066184268449,3.19446875424052e-21,6.77229853191548e-20,37.497427006683,"Down"
"206023_at",2.63907304090249,-0.163236839747904,11.0058019347375,3.21081275963855e-21,6.79903902529968e-20,37.4923635412608,"Up"
"204430_s_at",1.86196907899008,-0.0811751871263971,11.0051956891457,3.22300217137727e-21,6.82220842896059e-20,37.4886039464195,"Up"
"231136_at",-1.87117505409855,0.110826368851783,-11.0047139565085,3.23272100987468e-21,6.84013239995736e-20,37.4856165289536,"Down"
"203159_at",-1.44066975168102,0.112431272767628,-11.0038009568167,3.25122090349059e-21,6.87395602855175e-20,37.4799546949381,"Down"
"227289_at",-1.54203803412842,0.146128462944814,-10.9985984872226,3.35867252342222e-21,7.09839274132623e-20,37.4476934317031,"Down"
"225941_at",-1.07792590914091,0.0783630190776627,-10.998203885296,3.36696582359084e-21,7.11317064933653e-20,37.4452465241834,"Down"
"210078_s_at",-1.44769909456953,0.0960325147323718,-10.9976881036473,3.37783677708862e-21,7.1333806793094e-20,37.4420482032049,"Down"
"209335_at",-1.48112241586238,0.175149491126233,-10.9960532564056,3.41252599540059e-21,7.20385555206669e-20,37.4319107665446,"Down"
"201761_at",1.29651595927533,-0.0574872488580292,10.9886323186528,3.57451377831146e-21,7.53127324967935e-20,37.3858969910104,"Up"
"206499_s_at",1.28736007816874,-0.0765569077793803,10.988371872855,3.5803362693507e-21,7.54063503569914e-20,37.3842821572653,"Up"
"230028_at",1.12189830408731,-0.0937272801562705,10.9853923494115,3.64762368017706e-21,7.67939255732309e-20,37.3658086484586,"Up"
"225686_at",1.03884632348801,-0.0515922742944198,10.9851293851362,3.65362256110468e-21,7.68906133673588e-20,37.3641782586694,"Up"
"228905_at",-1.24246343678908,0.0532445339999589,-10.9842917225667,3.67279750355147e-21,7.72644107374669e-20,37.3589847468647,"Down"
"233365_at",-1.23852277966638,0.0414537973252794,-10.984062066787,3.67807208224114e-21,7.7341025053946e-20,37.3575608884961,"Down"
"227401_at",-1.18437280009863,0.0367809097262903,-10.9840100196279,3.67926851696961e-21,7.7341025053946e-20,37.3572381983121,"Down"
"241929_at",-1.50368890388156,0.0786858172834895,-10.9817439133335,3.73173914051545e-21,7.83837255119793e-20,37.3431886181166,"Down"
"227697_at",-1.57243971427823,0.14090418883395,-10.9811944572801,3.74457366092456e-21,7.86231048045508e-20,37.3397821121109,"Down"
"204753_s_at",-1.72476028518459,0.117879797540352,-10.9807136499806,3.75584079148507e-21,7.88294031763709e-20,37.336801230476,"Down"
"1568678_s_at",1.05925557540259,-0.0623868931318212,10.9771294902159,3.84090463620828e-21,8.05075478562522e-20,37.3145808703485,"Up"
"209959_at",-2.19089176464143,0.184230992882438,-10.975886553525,3.87085054162169e-21,8.10255564177511e-20,37.3068753687708,"Down"
"238780_s_at",-1.5270077891946,0.12411499188441,-10.9752196792489,3.88701341576772e-21,8.13327434011099e-20,37.3027411716138,"Down"
"203908_at",-2.08508081131474,0.192647243189678,-10.9675286925867,4.07835917592854e-21,8.52386421803873e-20,37.2550641943634,"Down"
"231772_x_at",1.11233973313269,-0.0854259290965648,10.9673783177441,4.08219263831681e-21,8.52861606801572e-20,37.2541320514497,"Up"
"224929_at",-1.04305924554528,0.117378745603222,-10.9664485419056,4.10597515705623e-21,8.57502642139227e-20,37.2483685965005,"Down"
"227928_at",1.17537485446174,-0.0928273882919954,10.9657919020633,4.12285448594015e-21,8.60370492438083e-20,37.2442982821279,"Up"
"45297_at",-1.1417173021027,0.0990794247551775,-10.9605133655711,4.26108350649146e-21,8.8887730147814e-20,37.2115793180518,"Down"
"222372_at",-1.07654543815089,0.0139223522517258,-10.9596791109717,4.2833495970282e-21,8.93181308991293e-20,37.206408378609,"Down"
"226218_at",-1.61294162974722,0.190441313985125,-10.9586754138282,4.31029206683249e-21,8.98456800434871e-20,37.2001872531616,"Down"
"240410_at",-1.44289243224767,0.0502834350207101,-10.9559422035497,4.38452098124662e-21,9.13581115280713e-20,37.1832466054969,"Down"
"241811_x_at",-2.93541452990942,0.217993783559048,-10.9516414001632,4.50391514337583e-21,9.37386983114099e-20,37.1565909725852,"Down"
"219121_s_at",1.61180076700935,-0.056041051839908,10.9502393654024,4.54353412883296e-21,9.45272939474665e-20,37.1479016899041,"Up"
"223544_at",1.03823731313411,-0.0706655990866617,10.9452337183145,4.68784460537124e-21,9.73814224159091e-20,37.1168797253342,"Up"
